place_id,place_name,review_id,reviewer_name,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,reviewer_url,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJ8WlwPi8XrjsRoio8OS1brLw,"Zinavo - Web Design Company in Bangalore, Web Development, SEO Services, Digital Marketing Agency, eCommerce Web Development",ChdDSUhNMG9nS0VJQ0FnSURWM0lMTV9nRRAB,Mahendran Mahee,5,A month of research and discussion led our team to select Zinavo Technologies as our Web Design Company. We now have one of the most impressive websites in the industry as a result of our decision. My sincere thanks go out to the Zinavo team.,a week ago,2023-12-12 21:14:59.043823,,,,1,2,,https://www.google.com/maps/contrib/117785148245071395971/reviews?entry=ttu,False,,
ChIJ8WlwPi8XrjsRoio8OS1brLw,"Zinavo - Web Design Company in Bangalore, Web Development, SEO Services, Digital Marketing Agency, eCommerce Web Development",ChdDSUhNMG9nS0VJQ0FnSUQ1cWVMcXN3RRAB,Mahendran Mahee,5,"I am very satisfied with the service I received from my favourite web design firm in Bangalore. This was at every stage before and after my website launch. The team will be available to make changes as and when we request them. Their response to our queries is immediate, which we rarely experience, especially after payment. Zinavo provides excellent customer service. My friends and colleagues will benefit from their services. Thank you again.",a week ago,2023-12-12 21:14:59.065825,"Thank you for your kind words, Mahendran Mahee! We are so glad that you had a positive experience with Zinavo and that our team was able to provide you with the HRM software customized to your needs. We look forward to continuing to provide you with excellent service in the future.",3 weeks ago,2023-11-28 21:14:59.065825,1,3,,https://www.google.com/maps/contrib/115355948955592460398/reviews?entry=ttu,False,,
ChIJ8WlwPi8XrjsRoio8OS1brLw,"Zinavo - Web Design Company in Bangalore, Web Development, SEO Services, Digital Marketing Agency, eCommerce Web Development",ChdDSUhNMG9nS0VJQ0FnSURWNU1mRmx3RRAB,Joshini S,5,Thank you very much for the excellent work you have done on our website. The final product is very satisfactory to me. I worked with the best web design company. Zinavo Technologies has been a great choice for me.,a week ago,2023-12-12 21:14:59.074829,,,,1,1,,https://www.google.com/maps/contrib/102688377605045260254/reviews?entry=ttu,False,,
ChIJ8WlwPi8XrjsRoio8OS1brLw,"Zinavo - Web Design Company in Bangalore, Web Development, SEO Services, Digital Marketing Agency, eCommerce Web Development",ChZDSUhNMG9nS0VJQ0FnSURGdW9LZWRREAE,VANAKAM DA MAPLA,5,I highly recommend this Web design and development company. The project was submitted on a certain date and time. The web design services provided by Zinavo were excellent. Our Zinavo team guided us with current trends and smart content ideas.,3 weeks ago,2023-11-28 21:14:59.100824,Thank you for your kind words and 5 star rating! We are so glad that Zinavo was able to meet your expectations and provide you with excellent web design services. We appreciate your business and look forward to working with you again in the future.,3 weeks ago,2023-11-28 21:14:59.100824,2,1,,https://www.google.com/maps/contrib/115772122543954973269/reviews?entry=ttu,False,,
ChIJ8WlwPi8XrjsRoio8OS1brLw,"Zinavo - Web Design Company in Bangalore, Web Development, SEO Services, Digital Marketing Agency, eCommerce Web Development",ChdDSUhNMG9nS0VJQ0FnSUNsdmVQQnN3RRAB,Latha Ramesh,5,"Zinavo is one of the best web designers in Bangalore when it comes to quality work and value for money. Because I am not a technical person, it was difficult for me to understand the stuff, but they helped me a lot and elaborated on the technicalities. The enthusiasm of the group is greatly appreciated. I would like to thank Zinavo and the entire team for their efforts.",3 weeks ago,2023-11-28 21:14:59.113826,"Thank you so much for your kind words, Latha! We are glad that you are pleased with our quality work and value for money. We appreciate your enthusiasm and are delighted that we were able to help you understand the technicalities. We are grateful for your support and look forward to working with you in the future.",3 weeks ago,2023-11-28 21:14:59.113826,2,1,,https://www.google.com/maps/contrib/102907510039412258051/reviews?entry=ttu,False,,
ChIJ8WlwPi8XrjsRoio8OS1brLw,"Zinavo - Web Design Company in Bangalore, Web Development, SEO Services, Digital Marketing Agency, eCommerce Web Development",ChdDSUhNMG9nS0VJQ0FnSUNscmI3Wm9nRRAB,Paruchuri Swetha,5,"We were very impressed with the Website Design Services. His friendly, energetic, and highly knowledgeable team executed Zinavos excellent and well-defined design strategy. I would like to mention the development team in particular.",3 weeks ago,2023-11-28 21:14:59.125824,"Thank you so much for your kind words, Swetha! We are delighted to hear that our team was able to exceed your expectations. We are especially proud of our development team and their hard work.",3 weeks ago,2023-11-28 21:14:59.125824,2,2,,https://www.google.com/maps/contrib/100402444789947966777/reviews?entry=ttu,False,,
ChIJ8WlwPi8XrjsRoio8OS1brLw,"Zinavo - Web Design Company in Bangalore, Web Development, SEO Services, Digital Marketing Agency, eCommerce Web Development",ChZDSUhNMG9nS0VJQ0FnSUNsMmFTZklREAE,Iron wolf Gang,5,I have been very pleased with Zinavos responsiveness and helpfulness while creating my website. Their approach to web design and online marketing is modern and artistic. It is a pleasure to work with Imrana and her team. My recommendation for anyone looking for an expert in e-commerce website design is them!,3 weeks ago,2023-11-28 21:14:59.136823,"Thank you for your kind words, Iron! We are so glad that you have enjoyed working with us and that you are pleased with the outcome of your website. We strive to provide our customers with the best service and modern, artistic design.",3 weeks ago,2023-11-28 21:14:59.136823,1,2,,https://www.google.com/maps/contrib/110536266018849032332/reviews?entry=ttu,False,,
ChIJ8WlwPi8XrjsRoio8OS1brLw,"Zinavo - Web Design Company in Bangalore, Web Development, SEO Services, Digital Marketing Agency, eCommerce Web Development",ChdDSUhNMG9nS0VJQ0FnSUNsaVlmNHJ3RRAB,Jeswin Prathap,5,,4 weeks ago,2023-11-21 21:14:59.152824,Thank you for your rating,3 weeks ago,2023-11-28 21:14:59.152824,0,,,,,,
ChIJ8WlwPi8XrjsRoio8OS1brLw,"Zinavo - Web Design Company in Bangalore, Web Development, SEO Services, Digital Marketing Agency, eCommerce Web Development",ChZDSUhNMG9nS0VJQ0FnSURGdXVtSGRBEAE,narashima vemula,5,"The Zinavo team, especially Senthuri and Franklin, provided excellent service. Our website has been designed and developed to international standards. A team of highly creative, energetic, and motivated individuals who are more than willing to go the extra mile to satisfy their customers. The developers listened to every single point I wanted on my website, and they came up with the perfect solution. I always came up with better ideas and approaches when I wasnt sure about something. I confirm every section of my website. If you have any questions or would like to make any changes and improvements, they are always available to help. Thank you for providing this type of service. Zinavo is my honest opinion the leading web design company for your web development needs.",a month ago,2023-11-19 21:14:59.173827,"Thank you for such a glowing review, Narashima! We are so pleased to hear that our team went above and beyond to make sure that your website was designed and developed to international standards. We are grateful for your feedback and are always available to help with any questions or changes you may have. We appreciate your kind words and are thankful for your support.",3 weeks ago,2023-11-28 21:14:59.173827,1,1,,https://www.google.com/maps/contrib/108501155540786326529/reviews?entry=ttu,False,,
ChIJ8WlwPi8XrjsRoio8OS1brLw,"Zinavo - Web Design Company in Bangalore, Web Development, SEO Services, Digital Marketing Agency, eCommerce Web Development",ChZDSUhNMG9nS0VJQ0FnSURGdXZpMUFnEAE,Dhana Lakshmi,5,It is a pleasure to work with Zinavo as they are one of the most talented web design companies Ive ever worked with. It was a pleasure working with them from day one and they kept me updated on everything. I highly recommend it...,a month ago,2023-11-19 21:14:59.195828,"Thank you for your wonderful review, Dhana Lakshmi! We are delighted to know that you had such a positive experience working with us. It is our goal to provide exceptional service to all of our customers and we are glad to have met your expectations.",3 weeks ago,2023-11-28 21:14:59.195828,1,1,,https://www.google.com/maps/contrib/110107832282366410051/reviews?entry=ttu,False,,
